Data e hora,temperatura interna,temperatura externa,temperatura definida pelo usuário, Atuador Resistor, Atuador Ventoinha)
24-01-2023 21:39:28,0.0,0.0,25.0,0,0
24-01-2023 21:39:29,0.0,25.79502391632741,25.0,0,0
24-01-2023 21:39:30,42.56,25.79502391632741,30.0,0,100
24-01-2023 21:39:31,42.56,25.79502391632741,30.0,0,100
24-01-2023 21:39:32,42.56,25.78075978765846,30.0,0,100
24-01-2023 21:39:33,42.5,25.78075978765846,30.0,0,100
24-01-2023 21:39:34,42.5,25.768764953890447,30.0,0,100
24-01-2023 21:39:35,42.5,25.768764953890447,30.0,0,100
24-01-2023 21:39:36,42.5,25.768764953890447,30.0,0,100
24-01-2023 21:39:37,42.5,25.757094306312705,30.0,0,100
24-01-2023 21:39:38,42.5,25.757094306312705,30.0,0,100
24-01-2023 21:39:39,42.38,25.757094306312705,30.0,0,100
24-01-2023 21:39:40,42.38,25.74736876779009,30.0,0,100
24-01-2023 21:39:41,42.38,25.74736876779009,35.0,0,100
24-01-2023 21:39:42,42.31,25.74736876779009,35.0,100,0
24-01-2023 21:39:43,42.31,25.736670676596987,35.0,100,0
24-01-2023 21:39:44,42.25,25.736670676596987,35.0,100,0
24-01-2023 21:39:45,42.25,25.736670676596987,35.0,0,100
24-01-2023 21:39:46,42.25,25.727269324752363,35.0,0,100
24-01-2023 21:39:47,42.19,25.727269324752363,35.0,0,100
24-01-2023 21:39:48,42.19,25.727269324752363,35.0,0,100
24-01-2023 21:39:49,42.19,25.72013726537009,35.0,0,100
24-01-2023 21:39:50,42.19,25.72013726537009,35.0,0,100
24-01-2023 21:39:51,42.19,25.713653575500054,35.0,0,100
24-01-2023 21:39:52,42.19,25.713653575500054,35.0,0,100
24-01-2023 21:39:53,42.06,25.713653575500054,35.0,0,100
24-01-2023 21:39:54,42.06,25.708142439468066,35.0,0,100
24-01-2023 21:39:55,42.06,25.708142439468066,35.0,0,100
24-01-2023 21:39:56,41.94,25.708142439468066,35.0,0,100
24-01-2023 21:39:57,41.94,25.704576410445974,35.0,0,100
24-01-2023 21:39:58,41.94,25.704576410445974,35.0,0,100
24-01-2023 21:39:59,41.88,25.704576410445974,35.0,0,100
24-01-2023 21:40:00,41.88,25.700362012688128,35.0,0,100
24-01-2023 21:40:01,41.88,25.700362012688128,35.0,0,100
24-01-2023 21:40:02,41.81,25.700362012688128,35.0,0,100
24-01-2023 21:40:03,41.81,25.6954992462832,35.0,0,100
24-01-2023 21:40:04,41.81,25.6954992462832,35.0,0,100
24-01-2023 21:40:05,41.81,25.6954992462832,35.0,0,100
24-01-2023 21:40:06,41.81,25.693229955381774,35.0,0,100
24-01-2023 21:40:07,41.81,25.693229955381774,35.0,0,100
24-01-2023 21:40:08,41.56,25.68966392693494,35.0,0,100
24-01-2023 21:40:09,41.56,25.68966392693494,35.0,0,100
24-01-2023 21:40:10,41.56,25.68966392693494,35.0,0,100
24-01-2023 21:40:11,41.56,25.686746267398938,35.0,0,100
24-01-2023 21:40:12,41.56,25.686746267398938,35.0,0,100
24-01-2023 21:40:13,41.44,25.686746267398938,35.0,0,100
24-01-2023 21:40:14,41.44,25.685125345474283,35.0,0,100
24-01-2023 21:40:15,41.44,25.685125345474283,35.0,0,100
24-01-2023 21:40:16,41.38,25.685125345474283,35.0,0,100
24-01-2023 21:40:17,41.38,25.684801161092764,35.0,0,100
24-01-2023 21:40:18,41.38,25.684801161092764,35.0,0,100
24-01-2023 21:40:19,41.38,25.684801161092764,35.0,0,100
24-01-2023 21:40:20,41.38,25.685449529856943,35.0,0,100
24-01-2023 21:40:21,41.38,25.685449529856943,35.0,0,100
24-01-2023 21:40:22,41.19,25.685449529856943,35.0,0,100
24-01-2023 21:40:23,41.19,25.68739463617676,35.0,0,100
24-01-2023 21:40:24,41.19,25.68739463617676,35.0,0,100
24-01-2023 21:40:25,41.19,25.68739463617676,35.0,0,100
24-01-2023 21:40:26,41.19,25.68739463617676,35.0,0,100
24-01-2023 21:40:27,41.06,25.68739463617676,35.0,0,100
24-01-2023 21:40:28,41.06,25.686422083011735,35.0,0,100
24-01-2023 21:40:29,41.06,25.686422083011735,35.0,0,100
24-01-2023 21:40:30,40.94,25.686422083011735,35.0,0,100
24-01-2023 21:40:31,40.94,25.685773714240735,35.0,0,100
24-01-2023 21:40:32,40.94,25.685773714240735,35.0,0,100
24-01-2023 21:40:33,40.94,25.685773714240735,35.0,0,100
24-01-2023 21:40:34,40.94,25.686746267398938,35.0,0,100
24-01-2023 21:40:35,40.94,25.686746267398938,35.0,0,100
24-01-2023 21:40:36,40.94,25.686746267398938,35.0,0,100
24-01-2023 21:40:37,40.75,25.688691373746043,35.0,0,100
24-01-2023 21:40:38,40.69,25.688691373746043,35.0,0,100
24-01-2023 21:40:39,40.69,25.688691373746043,35.0,0,98
24-01-2023 21:40:40,40.69,25.69063648013407,35.0,0,98
24-01-2023 21:40:41,40.56,25.69063648013407,35.0,0,100
24-01-2023 21:40:42,40.56,25.692905770971834,35.0,0,100
24-01-2023 21:40:43,40.56,25.692905770971834,35.0,0,100
24-01-2023 21:40:44,40.5,25.692905770971834,35.0,0,100
24-01-2023 21:40:45,40.5,25.69582343070224,35.0,0,100
24-01-2023 21:40:46,40.5,25.69582343070224,35.0,0,100
24-01-2023 21:40:47,40.5,25.69582343070224,35.0,0,100
24-01-2023 21:40:48,40.5,25.69809272166733,35.0,0,100
24-01-2023 21:40:49,40.5,25.69809272166733,35.0,0,100
24-01-2023 21:40:50,40.5,25.69809272166733,35.0,0,100
24-01-2023 21:40:51,40.31,25.69874109052473,35.0,0,100
24-01-2023 21:40:52,40.31,25.69874109052473,35.0,0,100
24-01-2023 21:40:53,40.25,25.69874109052473,35.0,0,90
24-01-2023 21:40:54,40.25,25.70068619712422,35.0,0,90
24-01-2023 21:40:55,40.19,25.70068619712422,40.0,0,90
24-01-2023 21:40:56,40.19,25.70068619712422,40.0,100,0
24-01-2023 21:40:57,40.19,25.702631303764633,40.0,100,0
24-01-2023 21:40:58,40.06,25.702631303764633,40.0,1,0
24-01-2023 21:40:59,40.06,25.702631303764633,40.0,1,0
24-01-2023 21:41:00,40.06,25.704252225996242,40.0,1,0
24-01-2023 21:41:01,40.06,25.704252225996242,45.0,100,0
24-01-2023 21:41:02,40.06,25.706845701625934,45.0,100,0
24-01-2023 21:41:03,40.06,25.706845701625934,45.0,100,0
24-01-2023 21:41:04,40.06,25.706845701625934,45.0,89,0
24-01-2023 21:41:05,39.88,25.711384284152974,45.0,89,0
24-01-2023 21:41:06,39.88,25.711384284152974,45.0,89,0
24-01-2023 21:41:07,39.81,25.711384284152974,45.0,100,0
24-01-2023 21:41:08,39.81,25.716571235885294,45.0,100,0
24-01-2023 21:41:09,39.81,25.716571235885294,45.0,100,0
24-01-2023 21:41:10,39.75,25.716571235885294,45.0,100,0
24-01-2023 21:41:11,39.75,25.721434003398667,45.0,100,0
24-01-2023 21:41:12,39.69,25.721434003398667,45.0,100,0
24-01-2023 21:41:13,39.69,25.721434003398667,45.0,100,0
24-01-2023 21:41:14,39.69,25.727269324752363,45.0,100,0
24-01-2023 21:41:15,39.69,25.727269324752363,45.0,100,0
24-01-2023 21:41:16,39.69,25.727269324752363,45.0,99,0
24-01-2023 21:41:17,39.69,25.732132092828486,45.0,99,0
24-01-2023 21:41:18,39.69,25.732132092828486,45.0,99,0
24-01-2023 21:41:19,39.69,25.737967414857486,45.0,99,0
24-01-2023 21:41:20,39.69,25.737967414857486,45.0,99,0
24-01-2023 21:41:21,39.56,25.737967414857486,45.0,100,0
24-01-2023 21:41:22,39.56,25.744126921843257,45.0,100,0
24-01-2023 21:41:23,39.56,25.744126921843257,45.0,100,0
24-01-2023 21:41:24,39.5,25.744126921843257,45.0,100,0
24-01-2023 21:41:25,39.5,25.750934798462914,45.0,100,0
24-01-2023 21:41:26,39.5,25.750934798462914,45.0,100,0
24-01-2023 21:41:27,39.44,25.750934798462914,45.0,100,0
24-01-2023 21:41:28,39.44,25.75806686022124,45.0,100,0
24-01-2023 21:41:29,39.44,25.75806686022124,45.0,100,0
24-01-2023 21:41:30,39.44,25.75806686022124,45.0,100,0
24-01-2023 21:41:31,39.44,25.76487473786749,45.0,100,0
24-01-2023 21:41:32,39.44,25.76487473786749,45.0,100,0
24-01-2023 21:41:33,39.44,25.76487473786749,45.0,100,0
24-01-2023 21:41:34,39.44,25.771682616015095,45.0,100,0
24-01-2023 21:41:35,39.38,25.771682616015095,45.0,100,0
24-01-2023 21:41:36,39.38,25.771682616015095,45.0,100,0
24-01-2023 21:41:37,39.38,25.777517940540655,45.0,100,0
24-01-2023 21:41:38,39.38,25.777517940540655,45.0,100,0
24-01-2023 21:41:39,39.38,25.784001634889954,45.0,100,0
24-01-2023 21:41:40,39.38,25.784001634889954,45.0,100,0
24-01-2023 21:41:41,39.38,25.784001634889954,45.0,100,0
24-01-2023 21:41:42,39.38,25.790485329694,45.0,100,0
24-01-2023 21:41:43,39.38,25.790485329694,45.0,100,0
24-01-2023 21:41:44,39.38,25.790485329694,45.0,100,0
24-01-2023 21:41:45,39.38,25.795996470634986,45.0,100,0
24-01-2023 21:41:46,39.38,25.795996470634986,45.0,100,0
24-01-2023 21:41:47,39.38,25.795996470634986,45.0,100,0
24-01-2023 21:41:48,39.38,25.801831796695318,45.0,100,0
24-01-2023 21:41:49,39.38,25.801831796695318,40.0,100,0
24-01-2023 21:41:50,39.38,25.801831796695318,40.0,0,100
24-01-2023 21:41:51,39.38,25.80799130793639,40.0,0,100
24-01-2023 21:41:52,39.38,25.80799130793639,40.0,0,100
24-01-2023 21:41:53,39.38,25.80799130793639,40.0,11,0
24-01-2023 21:41:54,39.38,25.81220571060096,40.0,11,0
24-01-2023 21:41:55,39.38,25.81220571060096,45.0,100,0
24-01-2023 21:41:56,39.38,25.81642011345766,45.0,100,0
24-01-2023 21:41:57,39.38,25.81642011345766,45.0,100,0
24-01-2023 21:41:58,39.38,25.81642011345766,45.0,100,0
24-01-2023 21:41:59,39.38,25.81966196193971,45.0,100,0
24-01-2023 21:42:00,39.38,25.81966196193971,45.0,100,0
24-01-2023 21:42:01,39.38,25.81966196193971,50.0,100,0
24-01-2023 21:42:02,39.38,25.81966196193971,50.0,100,0
24-01-2023 21:42:03,39.38,25.81966196193971,50.0,100,0
24-01-2023 21:42:04,39.38,25.81966196193971,50.0,100,0
24-01-2023 21:42:05,39.44,25.81771685283684,50.0,100,0
24-01-2023 21:42:06,39.44,25.81771685283684,50.0,100,0
24-01-2023 21:42:07,39.44,25.81771685283684,50.0,100,0
24-01-2023 21:42:08,39.44,25.81674429830075,50.0,100,0
24-01-2023 21:42:09,39.5,25.81674429830075,50.0,100,0
24-01-2023 21:42:10,39.5,25.81674429830075,50.0,100,0
24-01-2023 21:42:11,39.5,25.81609592861571,50.0,100,0
24-01-2023 21:42:12,39.56,25.81609592861571,50.0,100,0
24-01-2023 21:42:13,39.56,25.81609592861571,50.0,100,0
24-01-2023 21:42:14,39.56,25.81609592861571,50.0,100,0
24-01-2023 21:42:15,39.56,25.81609592861571,50.0,100,0
24-01-2023 21:42:16,39.56,25.817068483144975,50.0,100,0
24-01-2023 21:42:17,39.56,25.817068483144975,50.0,100,0
24-01-2023 21:42:18,39.56,25.817068483144975,50.0,100,0
24-01-2023 21:42:19,39.62,25.81836522253325,50.0,100,0
24-01-2023 21:42:20,39.62,25.81836522253325,55.0,100,0
24-01-2023 21:42:21,39.62,25.81836522253325,55.0,100,0
24-01-2023 21:42:22,39.62,25.82160707108351,55.0,100,0
24-01-2023 21:42:23,39.62,25.82160707108351,55.0,100,0
24-01-2023 21:42:24,39.69,25.82160707108351,55.0,100,0
24-01-2023 21:42:25,39.69,25.823876365136336,55.0,100,0
24-01-2023 21:42:26,39.75,25.823876365136336,55.0,100,0
24-01-2023 21:42:27,39.75,25.823876365136336,55.0,100,0
24-01-2023 21:42:28,39.75,25.827118213879864,55.0,100,0
24-01-2023 21:42:29,39.75,25.827118213879864,55.0,100,0
24-01-2023 21:42:30,39.75,25.83068424762905,55.0,100,0
24-01-2023 21:42:31,39.75,25.83068424762905,55.0,100,0
24-01-2023 21:42:32,39.81,25.83068424762905,35.0,0,100
24-01-2023 21:42:33,39.81,25.8342502815158,35.0,0,100
24-01-2023 21:42:34,39.81,25.8342502815158,35.0,0,100
24-01-2023 21:42:35,39.94,25.8342502815158,35.0,0,100
24-01-2023 21:42:36,39.94,25.837816315540113,35.0,0,100
24-01-2023 21:42:37,39.94,25.837816315540113,35.0,0,100
24-01-2023 21:42:38,39.94,25.837816315540113,35.0,0,90
24-01-2023 21:42:39,39.94,25.841706534632614,35.0,0,90
24-01-2023 21:42:40,39.94,25.841706534632614,35.0,0,90
24-01-2023 21:42:41,40.0,25.841706534632614,35.0,0,97
24-01-2023 21:42:42,40.0,25.84462419905942,35.0,0,97
